"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",11063.9,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",11221.8,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",11420.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",11622,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",11807.8,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",11988.3,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",12187.9,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",12390,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2018","2018",12575.1,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2019","2019",12760.9,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2020","2020",12924.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2021","2021",12938.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2022","2022",13086.7,"P","Provisional value"
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",10967.8,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",11118.2,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",11313,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",11506.2,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",11667.9,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",11827.7,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",12003,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",12204.2,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2018","2018",12391.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2019","2019",12579.3,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2020","2020",12730.8,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2021","2021",12749.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUS","Australia","2022","2022",12892.2,"P","Provisional value"
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",2986.7,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",3087.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",3213.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",3330.4,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",3442.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",3554.3,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",3672.3,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",3790.8,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2018","2018",3913,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2019","2019",4040.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2020","2020",4196.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2021","2021",4328.9,"P","Provisional value"
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",823.6,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",847.6,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",865.6,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",883.2,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",901.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",917.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",937.8,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",959.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2018","2018",982.8,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2019","2019",1010.9,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2020","2020",1044.8,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2021","2021",1079.7,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2022","2022",1115.3,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",11196.2,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",11393.2,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",11491.7,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",11553.3,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",11781.4,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",11999.9,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",12256.6,,
"JOBSCIVL","Total civilian employment","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",12571.7,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2010","2010",1.95,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2011","2011",1.92,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2012","2012",1.93,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2013","2013",1.88,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2014","2014",1.79,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2015","2015",1.79,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2016","2016",1.79,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2017","2017",1.74,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2018","2018",1.74,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2019","2019",1.67,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2020","2020",1.59,,
"DEMOFECO","Fertility","TXFECOTX","Children per women aged 15 to 49 years old","AUS","Australia","2021","2021",1.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2010","2010",1619.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2011","2011",1668.3,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2012","2012",1729.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2013","2013",1786.3,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2014","2014",1841.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2015","2015",1897,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2016","2016",1956.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2017","2017",2017.1,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2018","2018",2080.8,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2019","2019",2148.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2020","2020",2231.1,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2021","2021",2300.3,"P","Provisional value"
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2010","2010",505.7,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2011","2011",518,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2012","2012",526,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2013","2013",533.6,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2014","2014",541,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2015","2015",547.4,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2016","2016",556,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2017","2017",565.3,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2018","2018",576,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2019","2019",589.4,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2020","2020",605.1,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2021","2021",620.9,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2022","2022",637,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2010","2010",1366.9,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2011","2011",1419.6,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2012","2012",1484.2,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2013","2013",1544,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2014","2014",1600.7,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2015","2015",1657.3,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2016","2016",1715.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2017","2017",1773.7,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2018","2018",1832.2,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2019","2019",1891.5,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2020","2020",1965.1,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2021","2021",2028.6,"P","Provisional value"
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2010","2010",317.9,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2011","2011",329.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2012","2012",339.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2013","2013",349.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2014","2014",360.1,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2015","2015",369.7,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2016","2016",381.7,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2017","2017",393.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2018","2018",406.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2019","2019",421.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2020","2020",439.7,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2021","2021",458.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2022","2022",478.3,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2010","2010",297.9,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2011","2011",301.6,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2012","2012",309.6,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2013","2013",308.1,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2014","2014",299.7,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2015","2015",305.4,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2016","2016",311.1,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2017","2017",309.1,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2018","2018",315.2,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2019","2019",305.8,,
"DEMONATA","Live births","NMBERSNB","Number of live births (in thousands)","AUS","Australia","2020","2020",294.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2010","2010",100.9,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2011","2011",100.9,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2012","2012",101,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2013","2013",101,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2014","2014",101.2,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2015","2015",101.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2016","2016",101.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2017","2017",101.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2018","2018",101.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2019","2019",101.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2020","2020",101.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2021","2021",101.5,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRHEF","Female to male ratio","AUS","Australia","2022","2022",101.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2010","2010",99.1,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2011","2011",99.1,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2012","2012",99.1,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2013","2013",99,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2014","2014",98.8,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2015","2015",98.7,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2016","2016",98.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2017","2017",98.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2018","2018",98.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2019","2019",98.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2020","2020",98.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2021","2021",98.5,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","FPARRFEF","Male to female ratio","AUS","Australia","2022","2022",98.5,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2010","2010",13.5,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2011","2011",13.5,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2012","2012",13.6,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2013","2013",13.3,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2014","2014",12.8,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2015","2015",12.8,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2016","2016",12.9,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2017","2017",12.6,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2018","2018",12.6,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2019","2019",12.1,,
"DEMONATA","Live births","CDRMILNB","Births, crude rate per 1 000 population","AUS","Australia","2020","2020",11.5,,
